autor_comentario,autor_endereco,comentario_corpo,comentario_data,comentario_titulo
Rosangela A,336 contribuições,"Um estrada de 34km, de pura adrenalina. ",mar de 2016 • Casais,"Estrada mais espetacular do mundo, impressionante!!!!"
Marcelo B,"Indaiatuba, São Paulo, Brazil","Serra muito linda, com curvas tipo cotovelo, a vista é belíssima e a várias quedas de água no caminho, nem precisa dizer que se tem que guiar com muita atenção e devagar.",mar de 2016 • Casais,Que curvas
Sabrina T,29 contribuições,"A vista é linda de todos os pontos, foi a primeira vez de carro que meu namorado e eu descemos da aquele friozinho na barriga mais vale  muito a pena ir, descendo devagar e com cuidado é um passeio maravilhoso de se ir e de se fazer :D",mar de 2016 • Casais,Friozinho na Barriga
Monica D,"Ponta Grossa, Brazil","Linda serra catarinense, com muitas curvas e mirantes para tirar fotos, lanchonetes e vistas espetaculares.",jul de 2015,Lugar Maravilhoso
Kelly T,"Joinville, SC",Antes de descer a serra tem um mirante onde podemos contemplar a maravilha do lugar.,jun de 2015 • A negócios,Vista incrivel
Lino S,17 contribuições,"Lugar de beleza excepcional, a natureza impressiona! Vale a pena descer a serra parando nos mirantes para observar a natureza e tirar fotos.",mar de 2016 • Casais,Sensacional
Matheus P,"Blumenau, SC",Lugar muito bonito e com paisagem espetacular e de tirar o folego. Recomendo conhecer o local no meses de inverno.,jul de 2015 • Casais,Lindo!
Gilberto L,38 contribuições,Repleto de beleza natural conta com paisagens de tirar o fôlego. A visão do topo é fantástica. Todo o percurso merece paradas para contemplar a beleza natural.,jan de 2016 • Amigos,Sensacional
Juliane F,3 contribuições,"Otimo passeio de um fim de semana, lugar encantador, lugar p quem gosta muito de verde rota perfeita. ",out de 2015,Òtimo
Maria L,"Campo Largo, PR","Coisa linda não conheço igual ,natureza linda ,não consigo descrever  o espetáculo de vermos a serra de cima ,belvedere .o caminho é sinuoso ,estreito até subir ao topo mas creio que apesar ,não corremos perigo ,há curvas em zig -zag ,vemos os carros em cima ,mas a visão geral é lindíssima .",jul de 2015 • Casais,Lindíssima
Amaro A,"Brasília, DF","Com toda segurança chega-se no mirante, situado a 1400 metros acima do nível do mar. Com a proteção de uma mureta, pose-se apreciar o horizonte, na direção oeste para leste, até onde a vista alcança. Em dias claros pode-se ver o mar entre Laguna e Imbituba, a 80 km de distância.",fev de 2016 • Família,Vista deslumbrante
Leonardo Vianna Barbosa,"Porto Alegre, RS",Fiz uma viagem de carro pela região. É uma estrada imperdível com vista fantástica a cada curva... Vale a pena conhecer e apreciar o mirante ao final da subida.,abr de 2015,Ótimo!
MarceloMoreira22,"Criciúma, SC","Lugar ímpar, todos merecem visitar este lugar, vale cada KM rodado, natureza linda e exuberante, super indicado.",mar de 2016,Lugar Maravilhoso
Bruna S,"Lima, Peru","Lugar lindo e impressionante pela paisagem, para os amantes do frio, melhor para ser visitado no inverno onde o frio é perfeito.",jun de 2015 • Casais,Impressionante
Vivi1677,"Ponta Grossa, PR","O lugar é incrível para amantes da natureza, ar puro e fôlego para percorrer toda a serra. Vale a pena totalmente! Uma das mais belas estradas que já andei em todo mundo.",jan de 2016 • Casais,Serra do Rio do Rastro
Alex A,"Curitiba, PR","Uma belo local, visual surpreendente é maravilhoso. Estava frio mas a vista compensou. Subir pedalando é uma boa pedida, mas é duro.",mar de 2016 • Amigos,Espetacular 
Ana Clara C,"Goiânia, GO","Meu Deus, que lugar lindo, perfeito!!!! A serra é incrível, exige mt cuidado, pois há grande tráfego de caminhões, e ciclistas. Porém, tudo vale a pena. É uma vista de tirar o fôlego. ",out de 2015 • Família,Incrível
Mario M,"Criciúma, SC",Quem passa por esta serra sente todo o poder e a exuberância da natureza. podemos entender o quanto somos pequenos frente a esta grandiosidade. Um local a ser protegido e preservado.,mar de 2016,O poder da natureza
migbern,"Belo Horizonte, MG","Totalmente incrível estar neste lugar impar no mundo. No planejamento de viagem, nunca imaginaríamos a dimensão da serra. O ambiente muda a cada curva, saímos com sol a 32 graus de Laguna e chegamos no topo da serra a 14 graus e muita neblina e vento. Para de repente, mudar todo o visual novamente. Um passeio imperdível.",dez de 2015 • Família,Imperdível
Marciareginaparrella,"São José, SC","Tenho a certeza que DEUS, desenhou e pintou detalhadamente toda RIO DO RASTRO, lugar perigoso onde deve-se ter calma para fazer um passeio muito bacana com familiares, no inverno chega a baixo de  zero grau, águas de  cachoeiras congelam, fica parecendo vidro em todos os cantos. Quem gosta do frio é o local certo...Programe-se para o próximo inverno.",abr de 2015,DEUS E A NATUREZA EXUBERANTE.
Rafael H,"Balneário Camboriú, SC","excelentes vistas e sensações. descendo do município de Bom Jardim da Serra até Lauro Muller (ou vice-versa). um passeio que vale muito a pena e demonstra o quanto o estado de Santa Catarina tem de potencial turístico. tenha prudência ao volante e vislumbre o verde intocado da serra. o fato a lamentar é a sujeira ABSURDA (lixo: plásticos, copos, garrafas, cigarros, latinhas) no mirante principal, antes do início da descida. não sei o que pessoas assim fazem num local desse. que fiquem em casa jogando lixo no chão em sua própria sala ou quarto. como há um posto da polícia rodoviária em anexo ao estacionamento as margens da rodovia, deveria haver um agente apto e com poder de multar todo cidadão que jogasse lixo no chão, e o pior, morro abaixo, na mata.",fev de 2016 • A sós,imersão total com a natureza
Leonardo V,"Florianópolis, SC",Lugar incrível para quem quer viajar e se desconectar totalmente da rotina. Com ótimas opções de resorts para se ficar ou até mesmo só dar uma voltar e conhecer a serra!,jan de 2016,Melhor Lugar!
Andre Matos,"Joinville, SC",É sem duvida uma das mais lindas estradas do mundo. Tanto é que diversos comerciais já foram gravados aqui! Prepare as malas e vá conhecer ,fev de 2016 • Casais,Maravilhoso 
Sanguanini,"Joaçaba, SC","Ótimo loca, com uma estrutura segura para a visualização da serra. É bom optar por um horario que proporcione a vista do sol nascente, e evite a serração",jun de 2015,Excelente Vista
Michele S,"Balneário Camboriú, SC",Serra fantástica.,fev de 2016 • Casais,Lindo
Antonio V,"Recife, PE",Em Santa Catarina suas serras são fascinantes um local a se aventurar por dias e a do rio do rastro sem dúvida nos convida a um sentimento de está num lugar único pela sua beleza e que pode se conjugar a natureza com engenharia do homem... lindo emocionante suas curvas e a visao do mirante é de nunca mais esquecer... um passeio inesquecível! ,jan de 2016 • Amigos,Deslumbrante
Rafael E,"Torres, RS","A vista é linda, apesar da estrada ser estreita e muito sinuosa, vale cada momento. O melhor é tentar pegar um dia de céu limpo, para poder apreciar melhor a vista, principalmente quando chegar no mirante, ao topo da serra.",fev de 2016 • Amigos,Maravilhoso!
KatiaSB,"Porto Alegre, RS","A Serra do Rio do Rastro localizada no Sul do estado de SC no município de Lauro Muller está a mais de 1.421 m de altitude. São 15 km de estradas em concreto, escavadas em rocha natural. É um passeio incrível e emocionante, no topo está localizado um mirante que proporciona um linda vista panorâmica da estrada cheia de curvas e lá em cima tem também os Quatis, bichinhos bem simpáticos e comilões.",fev de 2016 • Família,Estrada Linda
Ismael F,"Jundiaí, SP","Um das, se não a mais bonita, Serra do mundo destino obrigatório para os amantes das duas rodas, esta Serra ligando Bom Jardim da Serra a Lauro Muller, não é muito longa mas a paisagem é simplesmente linda em toda a sua extensão. Vale a pena descer e subir, assim poderá apreciar a bela obra da natureza por todos os ângulos, encostas magestosas, cachoeiras que acompanham a descida. A vista do Mirante da Serra é magnífica. Vale a pena.",jan de 2016,Deslumbrante
Verinha_12,"São Paulo, SP","A paisagem e maravilhosa ! O ideal é subir em dia de céu aberto para poder apreciar melhor! Existem vários mirantes ao longo do caminho que proporcionam um visual fantastico! A única ressalva é o trânsito de caminhões que atrapalham o fluxo, deveria haver uma limitação para o tamanho dos caminhões que transitam nessa estrada parque!",fev de 2016,Frio na barriga!
Cláudia A,"Gravataí, RS","Apesar de ser perigosa, a vista é muito bonita!",abr de 2015 • Casais,Linda
Fer_e_Rafael,"Conselheiro Lafaiete, MG","Estrada magnífica, onde o trajeto é composto por mata, rochedos e nascentes de água, mas chama mais atenção por suas subidas íngremes e curvas fechadas. Chegando ao topo é possível contemplar todo o trajeto percorrido e uma incrível paisagem. Com certeza é um dos cartões postais de Santa Catarina.",dez de 2015 • Casais,Passeio Incrível!
PierreFraiburgo,"Fraiburgo, SC","Fiz este trajeto na boca da noite sob chuva e neblina espessa, isso garante muita adrenalina. Surreal, quando cruza caminhões carregadas nestas curvas a 180° e nestas condições. Obvio que o trajeto levou uma eternidade. Ja fiz de dia com tempo bom, eu diria que este trajeto deve ser um dos mais bonitos do mundo, vários pontos de parada para tirar fotografias,  uma beleza natural de tirar o fôlego, todo nesta estrada é superlativo, inclusive para os amantes de drift, o mais longo do mundo.",fev de 2016 • Amigos,Alucinante
SheilaWayszceyk,"Blumenau, SC","A vista do mirante é incrível. Para quem está vindo de Urubici e São Joaquim, o mirante é ao lado da polícia estadual, antes de começar a descer a serra. No local há um restaurante (que estava fechado no dia) e lojinhas para comprar produtos coloniais e lembranças.",jan de 2016 • Amigos,Orgulho de SC
Caroline B,"Porto Alegre, RS","A subida pela estrada é meio apavorante ainda mais pra quem tem medo de altura. Eu subi, a primeira vez que fui, à noite e foi bem assustador, mas a vista é incrível!",mar de 2015 • Amigos,Espetacular
Rodrigo Rafael B,"Blumenau, SC","A vista do mirante é maravilhosa e a descida deve ser feita de forma bem cuidadosa. Importante, ir em dia de sol para aproveitar a visão dos rochedos e as mini-cachoeiras. O sol atravessando o canyon é sensacional!!",mar de 2015 • Família,Vista Maravilhosa!
Gisele J,"Ponta Grossa, PR","Desci a Serra pela primeira vez de moto, em uma linda noite de lua cheia e provavelmente nunca vou esquecer.",jan de 2016 • Amigos,Espetacular...
Jorge,"Brusque, SC","A paisagem vista do alto da serra encanta qualquer um. Se você tiver sorte de ir com um dia ensolarado é possível ver o mar. Cuidado com as curvas da serra, elas são bastante acentuadas.",out de 2015,Lindo
Francieli K,"Curitiba, PR",É simplesmente linda!! Passei pela Serra do Rio do Rastro indo para Urubici e o passeio é incrível!!! Vá parando nos mirantes para observar melhor a vista!! Aproveite e passe no Cânion do Funil ao terminar de subir a Serra!!! é lindo!,jul de 2015,Uma beleza a cada curva!!!
Denise F,"Campo Largo, PR","Apesar da neblina ter atrapalhado nossa visão durante o dia, achei incrível conhecer esse lugar. A noite conseguimos visualizar a serra toda iluminada sem a neblina pra nos atrapalhar. Quero visitar novamente, mas no inverno!!! ",set de 2015 • Casais,Incrível!! 
Heloisa L,"Vinhedo, SP","Estrada com curvas fechadíssimas de cenário deslumbrante, mas com asfalto mal cuidado principalmente na parte mais baixa. Seria perfeita se a o transito fosse restrito a carros, motos e bikes.",nov de 2015 • Casais,Quase perfeita
Jose_SJCampos,"São José dos Campos, SP","Um lugar daqueles q vc tem de conhecer em algum momento da vida!! A magia, beleza e fascinio da natureza mostra o quanto somos pequenos!! Va em dias de semana q eh mais tranquilo! Super Recomendo!!",mar de 2015 • Casais,Pitoresco!!
Franciele S,17 contribuições,"A Serra do Rio do Rastro é linda! Fiquei impressionada com a beleza natural da paisagem e com a complexidade da obra realizada no local. Tanto a decida quanto a subida devem ser percorridas bem devagar, pois há curvas muito fechadas e é muito inclinado. Além do mirante no topo da serra, há diversos pontos ao longo do caminho onde é possível admirar a paisagem e tirar fotos. No mirante, encontramos animais silvestres (quatis) bem mansinhos. A DICA é chegar no mirante pela manhã, pois geralmente há neblina à tarde. Como chegamos na serra por volta das 16h e o tempo estava fechado, passamos a noite numa pousada em Bom Jardim da Serra, para poder ver a paisagem na manhã seguinte. Outra dica importante pra quem sair de Caxias do Sul e arredores, é ir por Vacaria e após até Lajes para não pegar estrada de chão (não pavimentada). ",fev de 2016 • Casais,Incrível
Sabrina Levinton,"Curitiba, PR","Entre ida e volta percorremos em moto 2.000km mas valeu a pena cada km rodado. O percurso da Serra do Rio do Rastro é extraordinário de uma beleza única! Tivemos a sorte de um dia ensolarado e a vista foi impecável, vale muito a pena.",fev de 2016 • Casais,Encantador!
Marcelo_Bottura,"Papanduva, SC",Subir e descer a serra de moto é excepcional... Estávamos em grupo de motoqueiros e a viagem foi maravilhosa... O visual é indescritível e a serra extremamente estreita... Parada nos mirantes é obrigatória para apreciar a viagem... Aconselho tirar umas 3 horas para apreciar todo o visual... ,fev de 2016 • Casais,Prefeito
Magraum,"São Carlos, SP","Sem comentários, linda serra...",fev de 2016,Sonho realizado
EvertonMarcelino,"Florianópolis, SC","Localizada no município de Lauro Muller, SC, a estrada tem curvas e visuais maravilhosos e desafiadores. Mata inexplorada e fauna exuberante.",dez de 2015,Mais linda estrada do Brasil. Um sonho!!
ivevso,"Belo Horizonte, MG","Percorri cada centímetro dessa serra com o coração cheio de alegria, pois era um sonho que se realizava. Cada curva tinha um mistério, e muita emoção",fev de 2016 • Família,Obra prima divina
Mateus R,23 contribuições,"Fiz o percurso de Lauro Mulller até Bom Jardim da Serra, Chegamos no fim de tarde no mirante e estava bem fechado, mais em pouco tem o clima do lugar muda e abriu um pouco. Fui informado pelos moradores que pela manhã é melhor para conseguir pegar a serra limpa de nuvens, então voltamos no outro dia pela manhã é realmente estava sem nuvens e o visual incrível.",jan de 2016 • Amigos,Lugar Incrível
Jacqrocha,"Natal, RN","Essa estrada extremamente sinuosa é encantadora. Possui vários locais para parar e tirar fotos.Apesar de ser considerada uma estrada perigosa, em razão do número de curvas, achei tranquila.",jan de 2016 • Casais,Linda estrada
Adriano S,"Curitiba, PR","Vista incrível, passeio ótimo, tanto de moto quanto de carro, ver a estrada encaixada na parede do cânion é incrível.",fev de 2016,Passeio
carlacassi,"Curitiba, PR","A Serra do Rio do Rastro é linda. Inesquecível e o incrível é que é a única ligação (mais próxima) do planalto com o litoral. tem transito intenso de turistas, moradores, além de ônibus e  caminhões. ",jan de 2016 • Casais,um lugar inesquecível em qualquer época do ano
Adelar G,"Santa Maria, RS",Uma fantástica obra de engenharia a realização desta rodovia margeando a descida da serra. Vale a pena descer aproveitando um dia de sol.,jan de 2016 • Amigos,Exuberante!
Juliana F,"Santa Maria, RS",A Serra do Rio do Rastro é linda. Tanto descendo ou subindo torna-se um passeio inesquecível. Uma natureza incrível. Vale a pena!,jan de 2016 • Casais,Fascinante!
Agente S,"Curitiba, PR","Beleza e emoção. Se tiver sorte o tempo abre e você pode ver toda a beleza da serra, mas também é bonito descer sob a neblina. Você pode para nos mirante ou ir até Lauro Muller, cidade no final da descida e retornar para nova emoção. ",nov de 2015,Emocionante!!!
Marteloti,"Gramado, RS","Uma das mais belas estradas do mundo, certamente destino para qualquer motociclista. Como eu desci, o passeio começou pelo mirante, de onde se pode ver toda a estrada e a serra, lindíssimas, com toda a sua exuberância e grandeza. Neste mirante há desde lojas com souvenirs até restaurante, que não fomos. A descida é impressionante, com as curvas tendo ""cotovelos"" bem definidos, estrada em concreto, de boa conservação. No meio da descida existem pontos para tirar fotos, mas o acesso a esles (necessita cruzar a pista nesses ""cotovelos"" é perigoso. Enfim, um passeio nota 10!!!",fev de 2016 • Casais,Um lugar impressionante
bruno p,"Goiânia, GO","Lugar lindo excelente para viajar de moto, rsrsrs, ou com qualquer meio de condução, infelizmente não peguei o céu totalmente limpo, mas deu para ver a beleza.",out de 2015 • Casais,Lugar fascinante
maria a,"Porto Alegre, RS",Descer a serra apreciando sua paisagem é emocionante do início ao fim. Vale dar umas paradinhas para fotos,jan de 2016 • Amigos,Emocionante
Willian S,"Jericoacoara, CE",Lugar Maravilhoso,mar de 2015 • Casais,Serra Linda
Alícia2015,"Penha, SC",A Serra do Rio do Rastro é uma daquelas maravilhas da natureza sem explicação é preciso conhecer para ter a exata noção do que é estar neste lugar. ,abr de 2015 • Casais,Espetáculo da Natureza!
Andrea W,"Araras, SP","Todo brasileiro deveria passar por esta serra. Maravilhosa.  Mas depende muito de sorte por causa da neblina.  Pegamos um dia bom, mas com muitas nuvens o que deu um charme adicional. ",jan de 2016 • Casais,Emoção e beleza
Eloisa P,"Garopaba, SC","Foi um dia de frio moderado, paisagem espetacular, pousada aconchegante e acolhedora.Adoreii...quero voltar!",jul de 2015,Primeira visita inesquecivel
Cesare P,"Curitiba, PR","Lugar um pouco complicado para chegar. Melhor subir de Florianópolis para descer a Serra mas vale a pena fazer o roteiro completo indo até São Joaquim com as suas casa de vinhos e não perder a casa do vinho, atendimento excelente e serviço ótimo como também na vinícola Villaggio Bassetti .",jan de 2016 • Amigos,Serra do Rastro sem nuveis
Raquesantos_,"Porto Alegre, RS","Programa imperdível! São 284 curvas de uma das estradas de montanha mais bonitas do país. Nas duas oportunidades em que subi a Serra (uma no inverno e agora no verão),  os dias estavam lindos e sem neblina, permitindo que eu  contemplasse cada detalhe do percurso. Há vários mirantes no caminho, mas o principal  fica no topo, onde se tem o melhor ângulo para fotos. ",jan de 2016 • Família,Não deixe de conhecer
Manoel S,"Osório, RS",Percorrer seus 16 kms é sentir fortes emoções e apreciar a beleza do verde misturado com as nuvens. É sentir a mão de Deus em toda aquela grandiosidade. Um passeio inesquecível e difícil de descrever em poucos caracteres. Só indo lá conferir.,jan de 2016 • Família,Junto ao céu e ao verde
marcosdalmoro,"Criciúma, SC",A vista é indiscutivelmente linda. O que peca são os serviços de infraestrutura que são poucos ou inexistentes. Mas vale muito a pena o passeio,fev de 2016,Vista Incrível
Vinicius M,"Guarulhos, SP","Vale muito a pena conhecer, ainda mais se pegarem um tempo bom sem muita neblina,  a serra é  encantadora e rende excelentes fotos , a decida é  marcada por uma mistura de tensão e diversão.. ótimo passeio !",abr de 2015 • Amigos,Maravilha 
Patricia S,27 contribuições,"Passeio ótimo, ligar muito lindo é claro é uma aventura que vale a pena tanto a subida como a descida. Não deixe de parar no mirante você pode se deparar com lindos e sapecas guaxinins  ",jun de 2015 • Casais,Fantástica 
Guilherme Paulin,"Porto Alegre, RS","Serra sensacional, muito boa a experiência para quem nunca passou e sempre vê as fotos, bem massa a sensação de subir e ver de perto aqueles caminhões que precisam realizar manobras para poder fazer as curvas.",jan de 2016,Vale muito a pena conhecer
LiCatarini,"Londrina, PR","A estrada é bastante conservada, as curvas são inacreditáveis, a paisagem é maravilhosa, possui vários mirantes pelo caminho e no mirante principal, que fica no topo da sera, a vista é impressionante. Para quem gosta de aventura, é um caminho que merece uma passada.",jan de 2016 • Casais,Incrível
Christiam Andrade,"Guarapuava, PR","Um lugar maravilho e esplêndido. É preciso contar com a ajuda do clima, mas se conseguir pegar um dia de sol, a vista é maravilhosa.",out de 2015 • Casais,Incrível...
AdrianaStrelow,"Porto Alegre, RS","Passeio maravilhoso! A vista é fantástica, as curvas inacreditáveis. O acesso é bom e a estrada está bem conservada. Possui vários mirantes pois é impossível parar em outros pontos da estrada. Existem vários lugares interessantes nas imediações.",jan de 2016 • Família,Fantástico
Mauricio Berbel,"Guarulhos, SP","A estrada é boa, bem conservada. Em alguns trechos as curvas são tão fechadas que caminhões precisam manobrar para fazê-las. Não vimos acidentes e nem abusos, parece que as pessoas respeitam. O visual é lindo, único, encantador. Às vezes fica tudo coberto pela neblina, sugiro aguardar um pouco (até uma hora) para assistir este espetáculo da natureza. Mas, se ela insistir em esconder, viaje assim mesmo, curta o paredão de pedra ao  lado, as curvas, a aventura! Estou certo que vai querer voltar e mostrar para alguém que vc ama!",jan de 2016 • Casais,Experiência única 
Shalimar Bastos,"Resende, RJ","Seja de carro ou de moto para os aventureiros de plantão é imperdível! Uma visão linda com a mistura das belezas naturais e a estrada feita pelo homem! Uma sensação de liberdade e ao mesmo tempo de ""como somos pequenos""!",jul de 2015 • Casais,Surpreendente!
MauroCambara,"São Paulo, SP",O passeio por aqui ~e surpreendente,set de 2015,Inesquecivel iniqualavel
edu_du08,"São Paulo, SP","Uma vista maravilhosa, uma paisagem deslumbrante, cercada pela natureza e por uma paz realmente singular. São alguns dos adjetivos que uso para descrever uma das estradas mais bonitas do Brasil e do mundo. Realmente um passeio incrivel e obrigatorio para todos os viajantes que passam pela regiao sul do Estado de Santa Catarina. A unica recomendação fica por conta de um checkup no sistema de freios do veiculo (bastante exigido no retorno). Diversos mirantes ao longo da estrada tambem facilitam a vida dos turistas que procuram uma boa foto.",jan de 2016,Sensacional!!
Felipe Miranda M,"São Paulo, SP",Lugar incrível. De moto ou de carro vale a visita. Não se preocupe com o tempo. Admire a paisagem e curta o momento. Não é possível transmitir por fotos a energia deste local. Simplesmente incrível. Vale a visita mais de uma vez. ,jan de 2016,Passeio de moto
fachel,"Pinto Bandeira, RS",A serra do Rio do Rastro tem paisagens lindas com visibilidade a perder de vista em dias claros. A estrada da Serra do Rio do Rastro é uma atração turística mesmo para quem não precisa andar pela estrada. É possível ver a estrada com suas curvas do mirante em seu topo.,out de 2015,Uma das mais belas estradas do Brazil está nesta região
ANA CLARA L,18 contribuições,Realmente a vista é surpreendente. Realizei o percurso de moto e foi uma experiencia inesquecível. Tive sorte de descer a serra num dia de sol o que me proporcionou vistas ainda mais deslumbrantes. O por do sol visto do mirante é impressionante,jan de 2016,Vista de tirar o fôlego.
L23B,"Goiânia, GO",Atração com curvas muito legais. No caminho é possível parar em migrantes para tirar fotos. Para quem gosta de pedalar é uma boa pedida também. ,jan de 2016 • Família,Curvas muito legais
EmilioRotta,"Lajeado, RS","Frustração, apesar de perceber a beleza que há no local. Uma manhã inteira de estrada para chegar lá em cima e vermos apenas nuvens. Valeu a experiência, passar pela região e curtir a natureza. ",nov de 2015 • Família,Em dia de nuvens...
rafael n,"São João da Boa Vista, SP","Estrada incrívelmente linda, ótimas paisages de picos, paredes de pedra e cachoeiras. e uma estrada muito emocionante!",mar de 2015 • Amigos,Espetacular!
Rinaldo M,"Dionísio Cerqueira, SC","O visual é realmente deslumbrante, apesar de passarmos pela estrada num dia com neblina. Como era um período chuvoso, havia algumas cachoeiras que podiam ser vistas da estrada.",fev de 2015 • Família,Visual deslumbrante
Sheila S,"Cascavel, PR","A Serra é linda e a visão do mirante é incrível. Não vá muito cedo e nem no final da tarde, tem muita neblina o que atrapalha a vista.",jan de 2016,Extraordinária
Lisiane D,"Criciúma, SC","A Serra do Rio do Rastro é considerada uma das estradas mais belas do mundo e a paisagem é realmente de tirar o fôlego! Recomendo em qualquer época do ano. No verão, em dias de sol para desfrutar da paisagem; e no inverno para apreciar a o frio e quando possível a neve.",jan de 2016 • Família,Imperdível!!!! De tirar o folêgo!!!!
Jessica_geruza,"Blumenau, SC",A descida pela Serra do Rio do Rastro proporciona uma vista incrível. Deve-se andar bem devagar devido as suas diversas curvas.,fev de 2015,Incrível
lrpaciarelli,"Belo Horizonte, MG","A Serra do Rio do Rastro é um trecho da BR 390, próximo a Lauro Muller. A sensação é de estar subindo ao céu. Já fui em dia ensolarado e nublado. Se tiver neblina você não enxerga nada, mas o passeio ainda assim é interessante!",jan de 2016 • Amigos,Fantástico
Sabrina k,"Esteio, RS","Visão linda,muito cuidado nas curvas,sinalização boa. ",fev de 2015 • Amigos,Fantástico
AdroaldoAzambuja,"Santa Rosa, RS","Muito bonito. Passeio pela Serra do Rio do Rastro é algo imperdível, de tirar o fôlego. Cuidar o horário, pois pela manhã provavelmente terá baixa visibilidade. Recomendo!",jan de 2016 • Amigos,Não deixe de ir
Emanuelly C,116 contribuições,"Se vc pegar um dia com neblina, vai ter a sensação de estar subindo ao céu. Muitas curvas e vistas ótimas.",jan de 2016 • Casais,Radical
Angela_Maria_Die,"Lages, SC",A beleza da estrada da Serra do Rio do Rastro pode ser apreciada em dias ensolarados bem como em dias de neblina. A neblina naquela região proporciona uma visão romântica. Para apreciar devidamente dirija com calma e atenção!,fev de 2015 • Casais,Passeio imperdivel.
Diego H,"Florianópolis, SC","Considerada como a estrada mais surpreendente do mundo, a Serra do Rio do Rastro, inicialmente construída por tropeiros que conduziam animais da serra catarinense para o litoral, possui beleza sem igual e impressiona pela exuberância. Se for visitar no inverno, leve casaco, mesmo que em outras cidades ou localidades esteja quente. As características da vegetação são únicas, pois é uma transição repentina de um dos locais mais frios do país para uma região litorânea de clima quente. Vale a pena visitar! É surpreendente!",nov de 2015 • Família,Incrível! Incomparável!
Ederson M,31 contribuições,"Curvas fechadas e com inclinação absurda, para andar em 1ª marcha e alternando entre a a embreagem (lomba acima) e o freio (lomba abaixo). As belíssimas paisagens competem dividem a atenção com a periculosidade de se pilotar ali. No inverno as águas que escorrem na pista congelam e deixam o caminho mais perigoso; no verão o motor da moto e o corpo do piloto pedem para parar por causa das altas temperaturas e umidade. E nesse momento aproveita-se os vários mirantes ao longo da subida (ou da descida).",jan de 2016,Requisito obrigatório para virar um motociclista de verdade!
Raimundo Nonato Gonçalves Junior,"Teresina, PI","Belíssima rodovia! Desde a vista do mirante, no alto, até a espetacular experiência de descer a serra, com suas curvas tipo ""ferradura"" (180°) e quedas d'água à vista. Cada curva uma paisagem para contemplar... e muita atenção para descer também!",fev de 2015,Fascinante!
LuOlbertz,"Boa Vista, RR","Viagem maravilhosa, a serra é muito linda! Quando chegamos ao mirante o alívio, não acreditava o quanto subimos. Sugestão p as autoridades locais é proibir o tráfego de caminhões. ",jan de 2016 • Família,Lindo lugar
Márcio Thomé,"Xaxim, SC","Apesar da neblina que enfrentamos logo no início, foi possível ter belas vistas no decorrer da descida da serra! Lugar lindo e impressionante!",jan de 2016,Lindo 
André A,"Balneário Camboriú, SC","A serra do rio do rastro é uma das estradas mais lindas do mundo, se você tiver sorte de cruza-la num dia de céu limpo desfrutará de paisagens deslumbrantes.",dez de 2015 • A sós,Uma das mais lindas do mundo!
Cristina P,"Curitiba, PR","leve casaco, mesmo q esteja um Calor insuportável. Porque o mirante fica a quase 1500m do nível do mar! Venta muito e bem forte! Eh muito",jan de 2016 • Família,Leve casaco SEMPRE
Tânia Tavares,70 contribuições,"Devido às curvas e o desenho delas serra abaixo, a vontade de descer é muito grande e a adrenalina e maior ainda. A serra é segura e muito bem pavimentada, com muitas cachoeiras e hortências em toda a sua extensão.",jan de 2016 • Casais,"Serra lindíssima, com um visual espetacular e assustador."
snogueira2015,"Brasília, DF","Local charmoso, natureza rica e uma vista de tirar o folego. A serra possui vários mirantes ao longo da rota que você pode parar, descer do carro, respirar o ar puro da montanha e admirar o visual!",jul de 2015,Local muito charmoso
WagnerDiglio,"Mogi das Cruzes, SP","Apesar do tempo estar nublado, fomos ate o topo desta serra no dia 1 de Janeiro de 2016 no finalzinho da tarde e retornamos a Tubarão apos as 23 hs. A vista é deslumbrante. cachoeiras na Estrada ( nas curvas ) e muita planta para se maravilhar.",jan de 2016,A Mais Linda Serra que já vi na vida !!!
Camila S,"Florianópolis, SC","A rodovia é perigosa, recomendo atenção redobrada! Ótimo para apreciar a paisagem, para tirar fotos. ",jun de 2015 • Casais,Paisagem
VFABRITO,"Três Lagoas, MS","Amei o lugar, pena que peguei o tempo fechado, não conseguimos ver nada do mirante, descemos a Serra sem enxergar nada. Quando chegamos ao restaurante que fica no final da descida, o tempo estava um pouco mais aberto, subimos e descemos de novo!",dez de 2015,Muito Lindo!
AnaOlimpio,"Lages, SC","Tenho o privilégio de ter a serra como caminho a minha cidade natal. E por mais que eu  passe por ela com frequência, a cada descida ou subida existe sempre uma novidade, uma beleza a ser descoberta e um ar de liberdade. Vale muito a pena ir conhece-lá, vá com tempo, calma para poder aproveitar e curtir toda a beleza que ela tem!",dez de 2015 • Casais,Perfeição da Natureza!
Jair S,"São Paulo, SP",Demos muita sorte pois chegamos ao mirante tão logo a estrada havia sido aberta do deslizamento que ocorreu no início de janeiro. Subimos e descemos a serra. ,jan de 2016 • Família,Estrada formudavel
Alexandre Z,15 contribuições,"Muito bonito a serra, decidimos subir e foi muito legal apesar de falarem que a descida é mais bonita! Vale muito a pena o passeio, durante o trajeto vimos cachoeiras, encontramos com caminhões, os quais tínhamos que parar para eles manobrarem pra fazer as curvas! Muito interessante! Vale a pena parar em alguns mirantes do caminho para tirar algumas fotos Pq quando chega lá em cima às vezes fica nublado mto rápido! ",dez de 2015 • Amigos,Lindo
